written by TR 
35.21340000 6.10619000 11.14310000 
35.19710000 7.51956000 11.36520000 
33.95830000 8.22529000 11.45810000 
33.94100000 9.62253000 11.76590000 
35.16550000 10.33010000 11.96160000 
35.15000000 11.72270000 12.28850000 
33.91010000 12.41840000 12.42770000 
33.89730000 13.81770000 12.72470000 
35.12550000 14.53290000 12.87030000 
35.11640000 15.94670000 13.08590000 
33.87500000 16.65070000 13.16690000 
33.86630000 18.07510000 13.29840000 
35.09930000 18.79830000 13.34300000 
35.09130000 20.22790000 13.38920000 
33.84810000 20.93520000 13.39970000 
33.83860000 22.36550000 13.38150000 
35.07310000 23.08740000 13.35670000 
35.06280000 24.51590000 13.29200000 
33.82000000 25.22230000 13.25060000 
33.80860000 26.64830000 13.15020000 
35.04210000 27.36850000 13.10350000 
35.03010000 28.79270000 12.98890000 
33.78940000 29.49750000 12.90950000 
33.77760000 30.91940000 12.77450000 
35.00930000 31.64040000 12.74090000 
34.99810000 33.06200000 12.61070000 
33.76080000 33.76420000 12.48740000 
33.75210000 35.18320000 12.33380000 
34.98140000 35.90790000 12.34110000 
34.97450000 37.32730000 12.19680000 
33.74330000 38.02350000 12.00410000 
33.74230000 39.43840000 11.82010000 
34.96800000 40.16760000 11.87510000 
34.97030000 41.58160000 11.68660000 
33.75030000 42.26720000 11.40690000 
33.76050000 43.67450000 11.17160000 
34.98440000 44.40500000 11.24710000 
34.99880000 45.80910000 10.99370000 
33.78650000 46.48720000 10.66930000 
33.80060000 47.89190000 10.41710000 
35.02970000 48.61560000 10.46460000 
35.04460000 50.01980000 10.21010000 
33.82130000 50.71140000 9.96217000 
33.82840000 52.12660000 9.77472000 
35.06380000 52.84200000 9.77832000 
35.06990000 54.26000000 9.61292000 
33.83550000 54.96800000 9.49418000 
33.83830000 56.39280000 9.39715000 
35.07600000 57.10560000 9.38354000 
35.07840000 58.53200000 9.31082000 
110.08600000 59.24550000 9.27157000 
111.32600000 61.38630000 9.22533000 
74.59080000 65.69650000 11.07010000 
36.46870000 1.09346000 10.98060000 
37.69980000 1.81184000 11.06210000 
37.69350000 3.24174000 11.06670000 
36.46180000 3.96369000 11.00710000 
36.44950000 5.38953000 11.12310000 
37.67570000 6.10327000 11.28450000 
37.65940000 7.51830000 11.49050000 
36.42200000 8.22939000 11.55120000 
36.40460000 9.62967000 11.84240000 
37.62920000 10.33400000 12.04630000 
37.61510000 11.73090000 12.34960000 
36.37630000 12.43080000 12.47180000 
36.36530000 13.83260000 12.75360000 
37.59560000 14.54730000 12.87950000 
37.58880000 15.96410000 13.06810000 
36.34830000 16.66750000 13.16470000 
36.34140000 18.09270000 13.28140000 
37.57510000 18.81590000 13.27250000 
37.56760000 20.24550000 13.29590000 
36.32520000 20.95090000 13.36040000 
36.31640000 22.38080000 13.33630000 
37.54750000 23.10100000 13.22810000 
37.53700000 24.52840000 13.15130000 
36.29540000 25.23530000 13.20380000 
36.28430000 26.66130000 13.10770000 
37.51150000 27.37690000 12.95190000 
37.49990000 28.80090000 12.84040000 
36.26110000 29.51000000 12.88760000 
36.24940000 30.93300000 12.77120000 
37.47610000 31.64770000 12.62310000 
37.46620000 33.07100000 12.52300000 
36.22870000 33.78090000 12.54110000 
36.21910000 35.20300000 12.42720000 
37.44840000 35.92080000 12.34190000 
37.44120000 37.34400000 12.25410000 
36.20410000 38.05050000 12.19030000 
36.19960000 39.47040000 12.05720000 
37.42940000 40.19260000 12.05310000 
37.42770000 41.61260000 11.92420000 
36.19710000 42.30910000 11.73540000 
36.20340000 43.72130000 11.53450000 
37.43160000 44.44680000 11.58050000 
37.44260000 45.85550000 11.35640000 
36.22540000 46.53660000 11.05590000 
36.24330000 47.93710000 10.78350000 
37.47300000 48.66060000 10.83050000 
37.49310000 50.05830000 10.54340000 
36.27680000 50.73940000 10.23960000 
36.29080000 52.14530000 9.99415000 
37.52580000 52.86100000 10.00760000 
37.53730000 54.27100000 9.78582000 
36.30680000 54.97340000 9.60921000 
36.31150000 56.39490000 9.47433000 
37.54940000 57.10720000 9.46915000 
37.55270000 58.53180000 9.36896000 
36.31650000 59.24450000 9.30257000 
36.31840000 60.67200000 9.25367000 
37.55670000 61.38440000 9.25363000 
37.55800000 62.81260000 9.22627000 
112.56600000 63.52750000 9.20522000 
77.04660000 65.69640000 11.30730000 
38.92510000 1.09141000 11.20410000 
40.15530000 1.80709000 11.30430000 
40.14990000 3.23547000 11.29480000 
38.92150000 3.95774000 11.19860000 
38.90950000 5.38358000 11.29960000 
40.13420000 6.09339000 11.48050000 
40.11900000 7.50971000 11.66540000 
38.88350000 8.22430000 11.69130000 
38.86710000 9.62828000 11.95720000 
40.09250000 10.33110000 12.15730000 
40.08100000 11.73500000 12.41810000 
38.84300000 12.43810000 12.52130000 
38.83450000 13.84560000 12.76610000 
40.06720000 14.56170000 12.85000000 
40.06170000 15.98330000 12.98860000 
38.82230000 16.68540000 13.09930000 
38.81610000 18.11240000 13.17870000 
40.04740000 18.83510000 13.09900000 
40.03780000 20.26400000 13.08030000 
38.79820000 20.96730000 13.19110000 
38.78800000 22.39580000 13.13870000 
40.00970000 23.11280000 12.93980000 
39.99570000 24.53770000 12.83290000 
38.76050000 25.24410000 12.96230000 
38.74810000 26.66860000 12.85170000 
39.96100000 27.37980000 12.59360000 
39.94850000 28.80290000 12.47570000 
38.71950000 29.51310000 12.62630000 
38.70920000 30.93660000 12.52270000 
39.92310000 31.64850000 12.28290000 
39.91720000 33.07350000 12.21530000 
38.68940000 33.78510000 12.35480000 
38.68300000 35.20970000 12.29030000 
39.90660000 35.92540000 12.13910000 
39.90400000 37.35070000 12.12020000 
38.67060000 38.06180000 12.17960000 
38.66590000 39.48580000 12.11750000 
39.89630000 40.20380000 12.07360000 
39.89370000 41.62800000 12.02200000 
38.65820000 42.33390000 11.93250000 
38.66000000 43.75270000 11.79170000 
39.89140000 44.47260000 11.81180000 
39.89780000 45.88800000 11.63990000 
38.67280000 46.57840000 11.39760000 
38.68860000 47.98190000 11.14270000 
39.92130000 48.70130000 11.17440000 
39.94130000 50.09910000 10.88870000 
38.72600000 50.77720000 10.57340000 
38.74600000 52.17430000 10.28300000 
39.98180000 52.88880000 10.29580000 
39.99930000 54.28920000 10.02110000 
38.77420000 54.98380000 9.78803000 
38.78250000 56.39960000 9.60451000 
40.02060000 57.11090000 9.60319000 
40.02580000 58.53230000 9.46652000 
38.79100000 59.24360000 9.36801000 
38.79310000 60.67030000 9.30152000 
40.03160000 61.38220000 9.30931000 
40.03270000 62.81010000 9.27271000 
38.79620000 63.52490000 9.23715000 
38.79680000 64.95340000 9.23010000 
79.49900000 65.69540000 11.57790000 
41.37720000 1.08878000 11.47420000 
42.60650000 1.80160000 11.58700000 
42.60200000 3.22798000 11.56970000 
41.37620000 3.94803000 11.44640000 
41.36550000 5.37306000 11.53030000 
42.58950000 6.08007000 11.71700000 
42.57710000 7.49823000 11.87000000 
41.34290000 8.21328000 11.86930000 
41.32930000 9.62246000 12.09540000 
42.55740000 10.32740000 12.26340000 
42.54920000 11.74030000 12.46020000 
41.31170000 12.44430000 12.55290000 
41.30550000 13.85980000 12.73740000 
42.53910000 14.57840000 12.75240000 
42.53240000 16.00420000 12.82390000 
41.29440000 16.70520000 12.95130000 
41.28620000 18.13340000 12.97610000 
42.51060000 18.85400000 12.81540000 
42.49550000 20.28070000 12.74480000 
41.26000000 20.98290000 12.89210000 
41.24490000 22.40860000 12.79760000 
42.45340000 23.12150000 12.51790000 
42.43360000 24.54310000 12.37770000 
41.20490000 25.24920000 12.55420000 
41.18880000 26.67150000 12.42130000 
42.38890000 27.38100000 12.10200000 
42.37610000 28.80420000 11.98380000 
41.15400000 29.51340000 12.18540000 
41.14590000 30.93800000 12.09560000 
42.35360000 31.65280000 11.82840000 
42.35340000 33.07960000 11.79730000 
41.13230000 33.78870000 11.99670000 
41.13240000 35.21480000 11.98610000 
42.35400000 35.93340000 11.82890000 
42.35840000 37.35810000 11.87980000 
41.13090000 38.06800000 12.01720000 
41.13040000 39.49280000 12.03670000 
42.36070000 40.21000000 11.99410000 
42.36020000 41.63440000 12.02450000 
41.12520000 42.34550000 12.01300000 
41.12480000 43.76890000 11.94430000 
42.35770000 44.48520000 11.95830000 
42.36090000 45.90610000 11.84520000 
41.13090000 46.60580000 11.66320000 
41.14270000 48.01540000 11.44710000 
42.37820000 48.73020000 11.46390000 
42.39520000 50.13230000 11.20130000 
41.17670000 50.81450000 10.90650000 
41.19880000 52.20790000 10.59900000 
42.43660000 52.91920000 10.60150000 
42.45810000 54.31240000 10.29230000 
41.23720000 55.00030000 10.02080000 
41.25020000 56.40810000 9.78550000 
42.48900000 57.11770000 9.78117000 
42.49710000 58.53430000 9.60289000 
41.26440000 59.24340000 9.46963000 
41.26730000 60.66870000 9.37965000 
42.50580000 61.38010000 9.39333000 
42.50710000 62.80760000 9.34451000 
41.27100000 63.52210000 9.29326000 
41.27120000 64.95050000 9.28437000 
81.95190000 65.69330000 11.84660000 
43.82880000 1.08637000 11.75810000 
45.05950000 1.79703000 11.85710000 
45.05540000 3.22196000 11.83890000 
43.82820000 3.93799000 11.72140000 
43.81980000 5.36218000 11.78430000 
45.04670000 6.06972000 11.93890000 
45.03810000 7.49069000 12.04650000 
43.80340000 8.20312000 12.04490000 
43.79390000 9.61897000 12.21260000 
45.02600000 10.32970000 12.30740000 
45.01940000 11.75080000 12.42420000 
43.78250000 12.45430000 12.52410000 
43.77640000 13.87700000 12.63140000 
45.00670000 14.59730000 12.55580000 
44.99510000 16.02460000 12.55490000 
43.75990000 16.72550000 12.70320000 
43.74620000 18.15300000 12.66620000 
44.95980000 18.86980000 12.42610000 
44.93720000 20.29300000 12.30730000 
43.70580000 20.99550000 12.47930000 
43.68370000 22.41750000 12.34360000 
44.88150000 23.12690000 12.01310000 
44.85820000 24.54680000 11.85670000 
43.63140000 25.25220000 12.04630000 
43.61310000 26.67360000 11.90390000 
44.81270000 27.38610000 11.58690000 
44.80370000 28.81140000 11.48920000 
43.57880000 29.51810000 11.68570000 
43.57510000 30.94480000 11.62120000 
44.78960000 31.66530000 11.39790000 
44.79510000 33.09340000 11.40730000 
43.57050000 33.79960000 11.60010000 
43.57730000 35.22600000 11.64140000 
44.80430000 35.94730000 11.53890000 
44.81390000 37.36950000 11.65060000 
43.58670000 38.07700000 11.80440000 
43.59140000 39.49910000 11.90050000 
44.82300000 40.21550000 11.90190000 
44.82530000 41.63710000 12.00260000 
43.59220000 42.35030000 12.03120000 
43.59190000 43.77520000 12.03240000 
44.82510000 44.48970000 12.06140000 
44.82730000 45.91360000 12.00080000 
43.59560000 46.62050000 11.86410000 
43.60410000 48.03580000 11.69160000 
44.84120000 48.74740000 11.70180000 
44.85530000 50.15460000 11.46910000 
43.63310000 50.84360000 11.20530000 
43.65420000 52.23810000 10.90350000 
44.89420000 52.94580000 10.89250000 
44.91690000 54.33580000 10.56980000 
43.69760000 55.02060000 10.28230000 
43.71500000 56.42030000 10.00300000 
44.95510000 57.12740000 9.98961000 
44.96640000 58.53810000 9.77096000 
43.73610000 59.24430000 9.60530000 
43.74040000 60.66750000 9.48764000 
44.97900000 61.37840000 9.50416000 
44.98070000 62.80520000 9.44078000 
43.74520000 63.51930000 9.37370000 
43.74520000 64.94760000 9.36219000 
84.41200000 65.69040000 12.04510000 
46.28740000 1.08411000 11.98200000 
47.52150000 1.79474000 12.02440000 
47.51780000 3.21946000 12.00820000 
46.28540000 3.93200000 11.94720000 
46.27940000 5.35615000 11.98510000 
47.51140000 6.06780000 12.05530000 
47.50500000 7.49171000 12.10980000 
46.26930000 8.20095000 12.14430000 
46.26240000 9.62299000 12.24030000 
47.49480000 10.33960000 12.22570000 
47.48580000 11.76520000 12.26130000 
46.25140000 12.46900000 12.38810000 
46.24140000 13.89540000 12.41460000 
47.46270000 14.61460000 12.24090000 
47.44340000 16.04050000 12.17560000 
46.21270000 16.74300000 12.34750000 
46.19120000 18.16780000 12.25440000 
47.39350000 18.87970000 11.95190000 
47.36530000 20.29990000 11.80410000 
46.13660000 21.00340000 11.98730000 
46.11000000 22.42290000 11.82940000 
47.30630000 23.13220000 11.49530000 
47.28600000 24.55350000 11.35450000 
46.05580000 25.25750000 11.52830000 
46.04090000 26.68080000 11.40420000 
47.25160000 27.39880000 11.14760000 
47.24870000 28.82660000 11.09010000 
46.01630000 29.53110000 11.24800000 
46.01820000 30.95970000 11.22140000 
47.24430000 31.68330000 11.08310000 
47.25350000 33.11110000 11.13600000 
46.02150000 33.81650000 11.28470000 
